User ID,First Name,Last Name,Full Name,Acquisition Channel
51206,Abby,Nixon,Abby Nixon,Organic
58863,Abril,Hunter,Abril Hunter,Organic
58934,Ada,Murillo,Ada Murillo,Organic
54810,Addisyn,Bradford,Addisyn Bradford,Organic
51424,Adelyn,Simmons,Adelyn Simmons,Google Ads
51484,Adriel,Key,Adriel Key,Organic
55366,Adyson,Munoz,Adyson Munoz,Organic
56381,Adyson,Graham,Adyson Graham,Organic
54239,Alaina,Aguirre,Alaina Aguirre,Organic
52061,Alannah,Meyers,Alannah Meyers,Organic
55949,Aleah,Davenport,Aleah Davenport,Organic
53787,Aleah,Roman,Aleah Roman,Google Ads
53933,Aleena,Gibson,Aleena Gibson,Organic
59861,Alessandro,Valencia,Alessandro Valencia,Google Ads
56854,Alfonso,Parsons,Alfonso Parsons,Organic
59958,Alfonso,Tanner,Alfonso Tanner,Google Ads
53928,Alice,Beard,Alice Beard,Organic
52439,Alissa,Clark,Alissa Clark,Organic
51898,Alisson,Pearson,Alisson Pearson,Organic
53474,Aliza,Foley,Aliza Foley,Organic
52827,Alyssa,Schneider,Alyssa Schneider,Google Ads
57852,Amelia,Mckee,Amelia Mckee,Organic
56281,Amira,Kent,Amira Kent,Organic
54843,Amya,Silva,Amya Silva,Google Ads
59138,Ana,Edwards,Ana Edwards,Organic
54287,Anabella,Nunez,Anabella Nunez,Organic
57529,Anabella,Tyler,Anabella Tyler,Google Ads
52638,Anabelle,Acevedo,Anabelle Acevedo,Organic
56512,Anastasia,Carlson,Anastasia Carlson,Organic
56985,Anaya,Velez,Anaya Velez,Organic
57718,Angeline,Whitaker,Angeline Whitaker,TikTok
59470,Angelique,Cannon,Angelique Cannon,Organic
57877,Anika,Greer,Anika Greer,Organic
56169,Ann,Murray,Ann Murray,Organic
54245,Anna,Bartlett,Anna Bartlett,Organic
57313,Anna,Harrell,Anna Harrell,Organic
59758,Annalise,Calhoun,Annalise Calhoun,Organic
55266,Araceli,Proctor,Araceli Proctor,Organic
56730,Arturo,Silva,Arturo Silva,Google Ads
55875,Arturo,Mejia,Arturo Mejia,Organic
52038,Aryan,Reese,Aryan Reese,Google Ads
54822,Aryanna,Spence,Aryanna Spence,Google Ads
55875,Ashanti,Huang,Ashanti Huang,Organic
57554,Ashlee,Shah,Ashlee Shah,Google Ads
52462,Ashton,Yu,Ashton Yu,Facebook
56712,Aspen,Sweeney,Aspen Sweeney,Google Ads
54060,Aubrie,Underwood,Aubrie Underwood,Organic
55205,Augustus,Livingston,Augustus Livingston,Organic
53310,Ayden,Mullins,Ayden Mullins,Organic
54164,Ayla,Dyer,Ayla Dyer,Organic
57109,Aylin,Serrano,Aylin Serrano,Google Ads
51743,Belinda,Valentine,Belinda Valentine,Google Ads
52617,Blake,Dunlap,Blake Dunlap,Organic
51128,Brandon,Conway,Brandon Conway,Organic
55107,Braydon,Gamble,Braydon Gamble,Organic
55957,Braylon,Mcclure,Braylon Mcclure,Organic
55363,Brenden,Mayo,Brenden Mayo,Organic
55327,Brennan,Richardson,Brennan Richardson,Google Ads
53247,Brenton,Wolfe,Brenton Wolfe,TikTok
57666,Brian,Lynch,Brian Lynch,Organic
57598,Brisa,Stafford,Brisa Stafford,Organic
58981,Britney,Wolfe,Britney Wolfe,TikTok
58273,Brogan,Sellers,Brogan Sellers,Google Ads
55984,Brooks,Blackburn,Brooks Blackburn,Organic
59412,Bryce,Hopkins,Bryce Hopkins,Organic
51251,Brynn,Crosby,Brynn Crosby,Organic
56825,Cailyn,Meza,Cailyn Meza,Organic
56190,Camren,Barr,Camren Barr,Organic
56958,Carley,Burns,Carley Burns,Organic
