User ID,First Name,Last Name,Full Name, First Time Transaction Amount 
59958,Alfonso,Tanner,Alfonso Tanner," 100,000 "
59861,Alessandro,Valencia,Alessandro Valencia," 100,000 "
59138,Ana,Edwards,Ana Edwards," 100,000 "
58934,Ada,Murillo,Ada Murillo," 100,000 "
58863,Abril,Hunter,Abril Hunter," 100,000 "
57852,Amelia,Mckee,Amelia Mckee," 100,000 "
57529,Anabella,Tyler,Anabella Tyler," 100,000 "
57123,Kendal,Glass,Kendal Glass," 500,000 "
57090,Kaya,Solomon,Kaya Solomon," 100,000 "
56854,Alfonso,Parsons,Alfonso Parsons," 300,000 "
56825,Cailyn,Meza,Cailyn Meza," 100,000 "
56730,Arturo,Silva,Arturo Silva," 300,000 "
56700,Jovanny,Wood,Jovanny Wood," 100,000 "
56608,Quentin,Sosa,Quentin Sosa," 50,000 "
56567,Jonathon,Gill,Jonathon Gill," 100,000 "
56562,Sasha,Reed,Sasha Reed," 10,000,000 "
56561,Dawson,Arias,Dawson Arias," 100,000 "
56533,Myah,Bailey,Myah Bailey," 500,000 "
56531,Rey,Griffin,Rey Griffin," 700,000 "
56497,Sophie,Contreras,Sophie Contreras," 1,000,000 "
56398,Deborah,Larsen,Deborah Larsen," 100,000 "
56381,Adyson,Graham,Adyson Graham," 100,000 "
56281,Amira,Kent,Amira Kent," 300,000 "
56224,Cierra,Greene,Cierra Greene," 100,000 "
56128,Leanna,Mosley,Leanna Mosley," 500,000 "
56008,Nikhil,Khan,Nikhil Khan," 50,000 "
55984,Brooks,Blackburn,Brooks Blackburn," 100,000 "
55949,Aleah,Davenport,Aleah Davenport," 100,000 "
55903,Tamara,Mullen,Tamara Mullen," 1,000,000 "
55878,Noel,Pittman,Noel Pittman," 50,000 "
55875,Arturo,Mejia,Arturo Mejia," 300,000 "
55848,Jaydan,Dickerson,Jaydan Dickerson," 100,000 "
55816,Sloane,Mueller,Sloane Mueller," 1,000,000 "
55703,Milton,Prince,Milton Prince," 500,000 "
55659,Jaylan,Watts,Jaylan Watts," 100,000 "
55648,Nayeli,Mcclure,Nayeli Mcclure," 50,000 "
55629,Skyler,Monroe,Skyler Monroe," 1,000,000 "
55578,Quintin,Alvarado,Quintin Alvarado," 50,000 "
55558,Chana,Meza,Chana Meza," 100,000 "
55482,Sebastian,Austin,Sebastian Austin," 5,000,000 "
55366,Adyson,Munoz,Adyson Munoz," 100,000 "
55319,Christine,Fritz,Christine Fritz," 100,000 "
55297,Dalia,Macias,Dalia Macias," 100,000 "
55283,Riya,Hensley,Riya Hensley," 700,000 "
54973,Vincent,Shields,Vincent Shields," 110,000 "
54843,Amya,Silva,Amya Silva," 100,000 "
54825,Kash,Fowler,Kash Fowler," 100,000 "
54822,Aryanna,Spence,Aryanna Spence," 300,000 "
54810,Addisyn,Bradford,Addisyn Bradford," 100,000 "
54705,Isis,Austin,Isis Austin," 100,000 "
54590,Gilbert,Tyler,Gilbert Tyler," 100,000 "
54546,Jaime,Ball,Jaime Ball," 100,000 "
54513,Gia,Valenzuela,Gia Valenzuela," 100,000 "
54426,Mohamed,Williams,Mohamed Williams," 500,000 "
54302,Rebecca,Yoder,Rebecca Yoder," 700,000 "
54287,Anabella,Nunez,Anabella Nunez," 100,000 "
54239,Alaina,Aguirre,Alaina Aguirre," 100,000 "
54194,Lorelei,Campos,Lorelei Campos," 500,000 "
54164,Ayla,Dyer,Ayla Dyer," 300,000 "
54140,Nia,Osborn,Nia Osborn," 50,000 "
53977,Madilynn,Park,Madilynn Park," 500,000 "
53939,Kaeden,Pollard,Kaeden Pollard," 100,000 "
53933,Aleena,Gibson,Aleena Gibson," 100,000 "
53928,Alice,Beard,Alice Beard," 100,000 "
53908,Katherine,Fuentes,Katherine Fuentes," 100,000 "
53854,Natalya,Calhoun,Natalya Calhoun," 500,000 "
53787,Aleah,Roman,Aleah Roman," 100,000 "
53713,Sylvia,Blake,Sylvia Blake," 1,000,000 "
53620,Kendal,Spence,Kendal Spence," 100,000 "
53553,Jarrett,Turner,Jarrett Turner," 100,000 "
53474,Aliza,Foley,Aliza Foley," 100,000 "
53444,Cornelius,Mueller,Cornelius Mueller," 100,000 "
53382,Paul,Hodge,Paul Hodge," 50,000 "
53298,Nathanial,Andrade,Nathanial Andrade," 500,000 "
53162,Tiana,Vincent,Tiana Vincent," 250,000 "
53022,Haley,Frazier,Haley Frazier," 100,000 "
52864,Justus,Hayes,Justus Hayes," 100,000 "
52856,Gilberto,Browning,Gilberto Browning," 100,000 "
52827,Alyssa,Schneider,Alyssa Schneider," 300,000 "
52638,Anabelle,Acevedo,Anabelle Acevedo," 300,000 "
52617,Blake,Dunlap,Blake Dunlap," 300,000 "
52513,Micheal,Alexander,Micheal Alexander," 500,000 "
52439,Alissa,Clark,Alissa Clark," 100,000 "
52425,Haylee,Levine,Haylee Levine," 100,000 "
52421,Payton,Barker,Payton Barker," 50,000 "
52290,Donald,Rhodes,Donald Rhodes," 100,000 "
52061,Alannah,Meyers,Alannah Meyers," 100,000 "
52038,Aryan,Reese,Aryan Reese," 300,000 "
52024,Tristen,Proctor,Tristen Proctor," 130,000 "
51898,Alisson,Pearson,Alisson Pearson," 100,000 "
51743,Belinda,Valentine,Belinda Valentine," 300,000 "
51708,Sydney,Villanueva,Sydney Villanueva," 1,000,000 "
51634,Heaven,Marquez,Heaven Marquez," 100,000 "
51615,Miles,Mcguire,Miles Mcguire," 500,000 "
51546,Reilly,Romero,Reilly Romero," 700,000 "
51484,Adriel,Key,Adriel Key," 100,000 "
51424,Adelyn,Simmons,Adelyn Simmons," 100,000 "
51303,Charles,Short,Charles Short," 100,000 "
51251,Brynn,Crosby,Brynn Crosby," 100,000 "
51206,Abby,Nixon,Abby Nixon," 100,000 "
49705,Anna Richmond,Anna,Richmond," 100,000 "
49644,Rex Ramos,Rex,Ramos," 100,000 "
49498,Mercedes Hebert,Mercedes,Hebert," 1,000,000 "
49341,Alexis Blake,Alexis,Blake," 100,000 "
48560,Hunter Holder,Hunter,Holder," 250,000 "
48218,Eric Tran,Eric,Tran," 50,000 "
48144,Brenden Mckinney,Brenden,Mckinney," 100,000 "
48051,Sloane Pruitt,Sloane,Pruitt," 90,000 "
47951,Keyon Padilla,Keyon,Padilla," 175,000 "
47565,Gemma Benitez,Gemma,Benitez," 50,000 "
47345,Kylan David,Kylan,David," 1,000,000 "
46844,Addyson Mills,Addyson,Mills," 100,000 "
46746,Angie Henderson,Angie,Henderson," 100,000 "
46613,Alia Moore,Alia,Moore," 100,000 "
46543,Trent Mack,Trent,Mack," 90,000 "
45814,Miley Bennett,Miley,Bennett," 1,000,000 "
45480,Gerald Braun,Gerald,Braun," 1,000,000 "
45396,Craig Hernandez,Craig,Hernandez," 100,000 "
45048,Annika Yang,Annika,Yang," 100,000 "
44796,Aliya Patterson,Aliya,Patterson," 100,000 "
44460,Zachariah Finley,Zachariah,Finley," 90,000 "
44205,Angela Stephens,Angela,Stephens," 100,000 "
44002,Lena Ali,Lena,Ali," 1,000,000 "
43932,Skyla Frazier,Skyla,Frazier," 90,000 "
43682,Jesus Schaefer,Jesus,Schaefer," 150,000 "
43626,John Bowen,John,Bowen," 150,000 "
43460,Jovanni Ware,Jovanni,Ware," 175,000 "
43421,Konnor Bonilla,Konnor,Bonilla," 1,000,000 "
43400,Jamari Hubbard,Jamari,Hubbard," 250,000 "
43191,Jay Dawson,Jay,Dawson," 150,000 "
43015,Erika Abbott,Erika,Abbott," 50,000 "
42847,Holden Morris,Holden,Morris," 500,000 "
42343,Alexandria Whitehead,Alexandria,Whitehead," 100,000 "
41999,Zack Riggs,Zack,Riggs," 90,000 "
41529,Jensen Velez,Jensen,Velez," 150,000 "
41502,Rory Scott,Rory,Scott," 100,000 "
41238,Jaylee Rogers,Jaylee,Rogers," 150,000 "
39961,Kallie Murphy,Kallie,Murphy," 2,300,000 "
39797,Adeline Carrillo,Adeline,Carrillo," 500,000 "
39713,Ricky Jensen,Ricky,Jensen," 500,000 "
39663,Kyson Meyers,Kyson,Meyers," 500,000 "
39328,Dayana Shaffer,Dayana,Shaffer," 7,500,000 "
39150,Presley Strickland,Presley,Strickland," 10,000,000 "
38721,Alannah Eaton,Alannah,Eaton," 2,000,000 "
37757,Finley Herring,Finley,Herring," 2,000,000 "
37687,Frankie Wise,Frankie,Wise," 1,000,000 "
37591,Janiyah Hoffman,Janiyah,Hoffman," 1,000,000 "
37025,Alejandra Spears,Alejandra,Spears," 1,000,000 "
36773,Sandra Cameron,Sandra,Cameron," 400,000 "
36756,Amaya Shea,Amaya,Shea," 400,000 "
36732,Corinne Kemp,Corinne,Kemp," 400,000 "
36703,Ellie Parrish,Ellie,Parrish," 400,000 "
36589,Neveah Cohen,Neveah,Cohen," 400,000 "
36372,Nadia Dudley,Nadia,Dudley," 400,000 "
36265,Erik Leblanc,Erik,Leblanc," 400,000 "
36112,Cassandra Sosa,Cassandra,Sosa," 400,000 "
35975,Raelynn Conner,Raelynn,Conner," 400,000 "
35698,Nyasia Finley,Nyasia,Finley," 350,000 "
35672,Trey Mata,Trey,Mata," 350,000 "
35510,Dylan Dunn,Dylan,Dunn," 350,000 "
35266,Ernest Figueroa,Ernest,Figueroa," 300,000 "
34113,Johan Castaneda,Johan,Castaneda," 75,000 "
33977,Corinne Morris,Corinne,Morris," 50,000 "
33961,Brianna Humphrey,Brianna,Humphrey," 50,000 "
33520,Riley Guerrero,Riley,Guerrero," 100,000 "
33430,Daphne Ramsey,Daphne,Ramsey," 100,000 "
33390,Akira Santos,Akira,Santos," 100,000 "
33325,Yosef Ryan,Yosef,Ryan," 100,000 "
32511,Alivia Golden,Alivia,Golden," 100,000 "
32214,Elliana Ortega,Elliana,Ortega," 100,000 "
31963,Elyse Browning,Elyse,Browning," 100,000 "
31760,Imani Stephens,Imani,Stephens," 100,000 "
31222,Yadira Wilkinson,Yadira,Wilkinson," 100,000 "
